iter	Passed	Remaining
1419	189992	345196
1420	190128	345067
1421	190259	344928
1422	190393	344796
1423	190528	344664
1424	190663	344531
1425	190798	344400
1426	190934	344271
1427	191069	344139
1428	191203	344005
1429	191338	343874
1430	191477	343749
1431	191609	343613
1432	191740	343474
1433	191874	343339
1434	192008	343206
1435	192138	343066
1436	192271	342931
1437	192402	342791
1438	192535	342656
1439	192669	342524
1440	192802	342387
1441	192932	342247
1442	193063	342108
1443	193195	341971
1444	193330	341839
1445	193465	341708
1446	193599	341575
1447	193735	341446
1448	193869	341311
1449	194003	341178
1450	194139	341048
1451	194271	340911
1452	194403	340775
1453	194536	340639
1454	194676	340516
1455	194810	340382
1456	194943	340248
1457	195079	340118
1458	195217	339990
1459	195349	339855
1460	195480	339715
1461	195616	339585
1462	195747	339448
1463	195879	339310
1464	196010	339171
1465	196146	339042
1466	196280	338908
1467	196412	338772
1468	196550	338644
1469	196682	338507
1470	196813	338368
1471	196950	338241
1472	197085	338108
1473	197220	337977
1474	197357	337848
1475	197492	337717
1476	197625	337581
1477	197758	337447
1478	197890	337309
1479	198022	337174
1480	198157	337041
1481	198288	336903
1482	198422	336769
1483	198553	336630
1484	198689	336501
1485	198820	336362
1486	198950	336222
1487	199084	336089
1488	199218	335954
1489	199348	335815
1490	199480	335678
1491	199613	335543
1492	199748	335411
1493	199881	335276
1494	200016	335144
1495	200152	335014
1496	200288	334883
1497	200420	334748
1498	200555	334616
1499	200691	334486
1500	200826	334353
1501	200957	334215
1502	201091	334081
1503	201222	333943
1504	201350	333801
1505	201481	333661
1506	201613	333525
1507	201743	333385
1508	201873	333245
1509	202008	333114
1510	202143	332981
1511	202278	332850
1512	202412	332716
1513	202545	332581
1514	202690	332465
1515	202823	332330
1516	202957	332197
1517	203092	332064
1518	203232	331941
1519	203366	331808
1520	203504	331681
1521	203636	331545
1522	203773	331416
1523	203907	331282
1524	204042	331151
1525	204176	331018
1526	204308	330880
1527	204443	330748
1528	204576	330613
1529	204711	330481
1530	204848	330353
1531	204985	330224
1532	205120	330092
1533	205255	329961
1534	205390	329828
1535	205522	329691
1536	205659	329564
1537	205794	329432
1538	205928	329298
1539	206065	329169
1540	206201	329039
1541	206335	328906
1542	206472	328776
1543	206608	328647
1544	206743	328514
1545	206875	328377
1546	207010	328245
1547	207145	328114
1548	207281	327984
1549	207413	327847
1550	207551	327720
1551	207688	327590
1552	207826	327464
1553	207959	327328
1554	208096	327199
1555	208234	327072
1556	208369	326940
1557	208503	326807
1558	208638	326674
1559	208776	326547
1560	208911	326415
1561	209047	326285
1562	209180	326150
1563	209314	326016
1564	209450	325886
1565	209582	325748
1566	209718	325619
1567	209850	325481
1568	209982	325346
1569	210116	325211
1570	210249	325077
1571	210382	324942
1572	210518	324811
1573	210651	324676
1574	210784	324540
1575	210914	324400
1576	211046	324264
1577	211177	324126
1578	211311	323993
1579	211443	323856
1580	211576	323721
1581	211710	323588
1582	211842	323451
1583	211978	323320
1584	212110	323184
1585	212242	323047
1586	212375	322913
1587	212515	322787
1588	212649	322654
1589	212783	322521
1590	212916	322385
1591	213048	322249
1592	213187	322122
1593	213318	321985
1594	213454	321854
1595	213586	321717
1596	213722	321588
1597	213857	321455
1598	213989	321319
1599	214121	321182
1600	214256	321050
1601	214387	320912
1602	214517	320772
1603	214649	320635
1604	214784	320504
1605	214916	320367
1606	215052	320236
1607	215182	320097
1608	215314	319961
1609	215447	319826
1610	215579	319689
1611	215713	319556
1612	215845	319418
1613	215976	319280
1614	216110	319148
1615	216243	319012
1616	216380	318883
1617	216513	318748
1618	216649	318618
1619	216784	318485
1620	216919	318353
1621	217054	318221
1622	217188	318087
1623	217325	317959
1624	217461	317827
1625	217593	317692
1626	217730	317563
1627	217862	317426
1628	217994	317290
1629	218129	317157
1630	218264	317025
1631	218400	316894
1632	218535	316763
1633	218668	316627
1634	218800	316491
1635	218931	316353
1636	219061	316214
1637	219194	316078
1638	219328	315945
1639	219458	315806
1640	219593	315674
1641	219728	315542
1642	219863	315409
1643	219997	315275
1644	220127	315137
1645	220258	314999
1646	220389	314861
1647	220521	314724
1648	220658	314596
1649	220790	314459
1650	220923	314323
1651	221057	314190
1652	221193	314060
1653	221325	313922
1654	221462	313793
1655	221595	313659
1656	221732	313529
1657	221866	313396
1658	222000	313262
